Sale,Status,Tax,Total
70,no,0,70
71,no,0,71
71,no,0,71
72,no,0,72
73,no,0,73
73,no,0,73
73,no,0,73
73,no,0,73
74,no,0,74
74,no,0,74
75,no,0,75
76,yes,6.27,82.27
79,yes,6.5175,85.5175
80,yes,6.6,86.6
81,yes,6.6825,87.6825
81,yes,6.6825,87.6825
82,yes,6.765,88.765
82,yes,6.765,88.765
83,yes,6.8475,89.8475
83,yes,6.8475,89.8475
87,yes,7.1775,94.1775
89,yes,7.3425,96.3425
89,yes,7.3425,96.3425
89,yes,7.3425,96.3425
92,yes,7.59,99.59
93,yes,7.6725,100.6725
93,yes,7.6725,100.6725
93,yes,7.6725,100.6725
94,yes,7.755,101.755
94,yes,7.755,101.755
